company_id,tsx_code,company_name,name_alt,status,headquarters,minerals_of_interest,percent_gold,percent_silver,description,last_updated
28,AOT.TO,ASCOT RESOURCES,Ascot Resources Ltd.,developer,"Vancouver, Canada","gold, silver",90.0,10.0,"Gold and silver mine development company with the Premier Gold Project in British Columbia’s Golden Triangle, currently commissioning for production.",2025-03-21 00:00:00+0000
29,APGO.V,APOLLO SILVER,Apollo Silver Corp.,explorer,"Vancouver, Canada","silver, gold",11.2,88.8,"Silver exploration company with the Calico Silver Project in California and the Arizona Silver District Project in Arizona, USA.",2025-03-21 00:00:00+0000
30,APM.TO,ANDEAN PRECIOUS METALS,Andean Precious Metals Corp.,producer,"Toronto, Canada","gold, silver",65.5,34.5,"Precious metals producer with operations in Bolivia and the United States, including the San Bartolomé processing facility and the Soledad Mountain mine.",2025-03-21 00:00:00+0000
31,ANTL.V,ANTLER GOLD,Antler Gold Inc.,explorer,"Halifax, Canada",gold,100.0,0.0,"Gold exploration company with projects in Namibia and Zambia, including the Onkoshi Gold Project.",2025-03-21 00:00:00+0000
32,ARIS.TO,ARIS MINING CORPORATION,Aris Mining Corporation,producer,"Vancouver, Canada",gold,100.0,0.0,"Gold mining company with operations in Colombia, including Segovia and Marmato mines, targeting 500,000 ounces annually by 2026.",2025-03-21 00:00:00+0000
33,AE.V,AMERICAN EAGLE GOLD,American Eagle Gold Corp.,explorer,"Toronto, Canada","gold, copper",50.0,0.0,"American Eagle Gold Corp. engages in the acquisition and exploration of mineral properties. The company explores for gold and copper deposits in North America. Its flagship project is the NAK copper-gold property located in British Columbia. The company was formerly known as Pacific Precious Inc. and changed its name to American Eagle Gold Corp. in October 2020. American Eagle Gold Corp. was incorporated in 2018 and is headquartered in Toronto, Canada.",2025-03-18 06:04:40+0000
34,ARTG.TO,ARTEMIS GOLD INC.,Artemis Gold Inc.,developer,"Vancouver, Canada",gold,100.0,0.0,"Gold development company focused on the Blackwater Gold Project in British Columbia, Canada.",2025-03-21 00:00:00+0000
35,ARU.V,AURANIA RESOURCES LTD.,Aurania Resources Ltd.,explorer,"Toronto, Canada","gold, copper, silver",100.0,0.0,"Mineral exploration company focused on gold, copper, and silver in Ecuador, with the Lost Cities - Cutucu project as their flagship asset.",2025-03-21 00:00:00+0000
36,ASE.CN,ASANTE GOLD CORPORATION,Asante Gold Corporation,producer,"Vancouver, Canada",gold,100.0,0.0,"Gold mining company with operations in Ghana, including the Bibiani and Chirano Gold Mines, targeting production growth to 450,000 ounces annually by 2025.",2025-03-21 00:00:00+0000
37,ARK.V,ARRAS MINERALS CORP.,Arras Minerals Corp.,explorer,"Vancouver, Canada","gold, copper",53.35,1.84,"Mineral exploration company focused on copper-gold porphyry systems in Kazakhstan, holding a large land package with the Beskauga project featuring indicated and inferred resources.",2025-03-21 00:00:00+0000
38,ASTR.V,ASTRA EXPLORATION INC.,Astra Exploration Inc.,explorer,"Vancouver, Canada","gold, silver",46.7,53.3,"Gold and silver exploration company with projects in Chile and Argentina, including Pampa Paciencia in Chile and La Manchuria in Argentina.",2025-03-21 00:00:00+0000
39,AGI.TO,ALAMOS GOLD,Alamos Gold Inc.,producer,"Toronto, Canada",gold,100.0,0.0,"Alamos Gold Inc. operates as a gold producer in Canada, Mexico, and the United States. The company primarily explores for gold deposits. Alamos Gold Inc. was founded in 2003 and is based in Toronto, Canada.",2025-03-18 06:04:40+0000
40,AU.V,AURION RESOURCES LTD.,Aurion Resources Ltd.,explorer,"St. John's, Newfoundland, Canada",gold,100.0,0.0,"Gold exploration company with projects in Finland, including the Risti property and joint ventures with B2Gold and Kinross Gold.",2025-03-21 00:00:00+0000
41,ARIC.V,AWALÉ RESOURCES LIMITED,Awalé Resources Limited,explorer,"Vancouver, Canada","gold, copper",70.0,0.0,"Exploration company targeting gold and copper-gold deposits in Côte d’Ivoire, with key progress at the Odienné Project.",2025-03-21 00:00:00+0000
42,AWM.V,ANGEL WING METALS INC.,Angel Wing Metals Inc.,explorer,"Toronto, Canada","gold, silver",100.0,0.0,"Gold exploration company with projects in Mexico and Canada, including the La Reyna Project in Nayarit, Mexico.",2025-03-21 00:00:00+0000
43,AUM.V,AUMEGA METALS LTD.,Aumega Metals Ltd.,explorer,"Vancouver, Canada","gold, copper",100.0,0.0,"Gold and copper exploration company with projects in Tasmania, Australia, including the Cape Horn and Granville projects.",2025-03-21 00:00:00+0000
44,AUMB.V,1911 GOLD CORPORATION,1911 Gold Corporation,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration and development company with projects in Manitoba, Canada, including the True North Gold Project.",2025-03-21 00:00:00+0000
45,ATHA.CN,ATHENA GOLD CORPORATION,Athena Gold Corporation,explorer,"Vacaville, California, USA","gold, silver",80.0,20.0,"Gold and silver exploration company with projects in Nevada, USA, including the Excelsior Springs and Crow Springs projects.",2025-03-21 00:00:00+0000
46,AUR.H.V,AURORA ROYALTIES,Aurora Royalties Inc.,explorer,"Toronto, Canada",silver,0.0,100.0,"Canada-based resource exploration company focused on the acquisition, exploration, and evaluation of precious metal properties.",2025-03-21 00:00:00+0000
47,AUAU.V,ALLEGIANT GOLD LTD.,Allegiant Gold Ltd.,explorer,"Vancouver, Canada","gold, silver",93.3,6.7,"Gold and silver exploration company with projects in Nevada, USA, including the flagship Eastside project.",2025-03-21 00:00:00+0000
48,AYA.TO,AYA GOLD & SILVER,Aya Gold & Silver Inc.,producer,"Montreal, Canada",silver,0.0,100.0,"Silver producer with operations in Morocco, operating the Zgounder Silver Mine and exploring properties along the South-Atlas Fault.",2025-03-21 00:00:00+0000
49,ASM.TO,AVINO SILVER & GOLD MINES LTD.,Avino Silver & Gold Mines Ltd.,producer,"Vancouver, Canada","silver, gold, copper",42.2,57.8,"Silver, gold, and copper producer with operations at the Avino Mine in Mexico, and development at La Preciosa.",2025-03-21 00:00:00+0000
50,AZS.V,ARIZONA GOLD & SILVER,Arizona Gold & Silver Inc.,explorer,"Vancouver, Canada","gold, silver",100.0,0.0,"Gold and silver exploration company with projects in Arizona and Nevada, USA, including the Philadelphia gold-silver property and the Silverton Gold Project.",2025-03-21 00:00:00+0000
51,AZT.V,AZTEC MINERALS,Aztec Minerals Corp.,explorer,"Vancouver, Canada","gold, copper, silver, lead, zinc",50.0,50.0,"Mineral exploration company with projects in Mexico and the USA, focusing on gold, copper, silver, lead, and zinc, including the Cervantes gold-copper project in Sonora, Mexico, and the Tombstone gold-silver project in Arizona, USA.",2025-03-21 00:00:00+0000
52,AUOZ.CN,EMPEROR METALS,Emperor Metals Inc.,explorer,"Edmonton, Canada",gold,100.0,0.0,"Gold exploration and development company with projects in Quebec, Canada, including the Duquesne West Gold Project and the Lac Pelletier Project.",2025-03-21 00:00:00+0000
53,BAU.V,Blue Star Gold Corp.,Blue Star Gold Corp.,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with the Ulu Gold Project in Nunavut, Canada, including the Flood Zone deposit with significant gold resources.",2025-03-21 21:00:00+0000
54,BBB.V,Brixton Metals Corporation,Brixton Metals Corporation,explorer,"Vancouver, Canada","gold, silver, copper",50.0,50.0,"Exploration company focused on the Thorn Project in British Columbia, Canada, targeting copper, gold, and silver.",2025-03-21 21:00:00+0000
55,BCM.V,Bear Creek Mining Corporation,Bear Creek Mining Corporation,producer,"Vancouver, Canada","gold, silver",95.8,4.2,"Bear Creek Mining is a precious metals producer with the Mercedes Gold Mine in Sonora, Mexico, and the Corani Silver Project in Peru.",2025-03-21 21:00:00+0000
56,BAT.V,BATERO GOLD,Batero Gold Corp.,explorer,"Vancouver, Canada","gold, copper",95.0,0.0,"Gold exploration company focused on the Batero-Quinchia project in Quinchia, Risaralda, Colombia, with the La Cumbre deposit as the primary target.",2025-03-21 21:06:00+0000
57,BGF.V,Beauce Gold Fields Inc.,Beauce Gold Fields Inc.,explorer,"Montreal, Canada",gold,100.0,0.0,"Gold exploration company focused on the Saint-Simon-Les-Mines Gold project in Quebec, Canada, which hosts historical placer gold deposits and potential for hard rock gold sources.",2025-03-21 21:18:00+0000
58,BGS.V,Baroyeca Gold & Silver Inc.,Baroyeca Gold & Silver Inc.,explorer,"Vancouver, Canada","gold, silver, copper",50.0,50.0,"Canadian exploration company focused on high-grade silver and gold projects in Colombia, including Atocha (silver), Santa Barbara (gold), and Zapatoca (copper).",2025-03-21 21:00:00+0000
59,BHS.V,Bayhorse Silver Inc.,Bayhorse Silver Inc.,explorer,"Burnaby, Canada","silver, gold",0.0,100.0,"Silver exploration company with the Bayhorse Silver Mine in Oregon, USA, which has a 6.3 million ounce inferred silver resource, and other gold and silver projects.",2025-03-21 00:00:00+0000
60,BEX.V,Benton Resources Inc.,Benton Resources Inc.,explorer,"Thunder Bay, Canada","gold, copper, nickel, PGEs, lithium",70.0,0.0,"Exploration company advancing the Great Burnt Copper-Gold Project in Newfoundland, Canada, with additional gold and copper prospects in Ontario.",2025-03-21 21:17:00+0000
61,BLLG.CN,BLUE LAGOON RESOURCES,Blue Lagoon Resources Inc.,developer,"Vancouver, Canada","gold, copper",80.0,0.0,"Developer focused on the Dome Mountain Gold Mine in British Columbia, with additional exploration projects including Pellaire Gold and Big Onion Copper.",2025-03-21 00:00:00+0000
62,BMM.V,BLACK MAMMOTH METALS,Black Mammoth Metals Corporation,explorer,"Vancouver, Canada","gold, silver, lead",90.0,10.0,"Explorer focused on gold and silver properties in Idaho and Nevada, USA, with additional silver-lead interests.",2025-03-22 00:00:00+0000
63,BOGO.V,BOREALIS MINING COMPANY,Borealis Mining Company Ltd.,producer,"Toronto, Canada",gold,100.0,0.0,"Gold mining company with the Borealis Mine in Nevada, USA, with measured and indicated resources of 1.831 Moz Au and inferred resources of 0.195 Moz Au, planning to expand production to over 100,000 oz/year.",2025-03-22 00:00:00+0000
64,AZM.V,AZIMUT EXPLORATION,Azimut Exploration Inc.,explorer,"Longueuil, Canada","gold, copper, nickel, lithium",100.0,0.0,"Mineral exploration company with projects in Quebec, Canada, including the Elmer Gold Project and others focusing on gold, copper, nickel, and lithium.",2025-03-21 00:00:00+0000
65,AXM.H.V,AXMIN,Axmin Inc.,explorer,"Toronto, Canada",gold,100.0,0.0,"Mineral exploration company, previously focused on Central African Republic. NEX listed.",2025-03-12 06:44:01+0000
66,BRC.V,Blackrock Silver Corp,Blackrock Silver Corp.,developer,"Vancouver, Canada","silver, gold",48.8,51.2,"Developer focused on silver and gold with the Tonopah West project in Nevada, USA, part of the historic Tonopah Silver District.",2025-03-22 00:00:00+0000
67,BSX.TO,Belo Sun Mining Corp,Belo Sun Mining Corp.,developer,"Toronto, Canada",gold,100.0,0.0,"Developer focused on the Volta Grande gold project in Pará State, Brazil, with proven and probable reserves of 3.8 million ounces of gold.",2025-03-22 00:00:00+0000
68,BTO.TO,B2Gold Corp,B2Gold Corp.,producer,"Vancouver, Canada","gold, silver",95.0,5.0,"International senior gold producer with operating mines in Mali, Namibia, and the Philippines, and development projects in Canada and other countries.",2025-03-22 00:00:00+0000
69,BRAZ.CN,Canary Gold Corp,Canary Gold Corp.,explorer,"Vancouver, Canada",gold,100.0,0.0,"Gold exploration company with flagship Rio Madeira property in Rondônia, Brazil, covering 68,445 hectares.",2025-03-22 00:00:00+0000
70,BYN.V,Banyan Gold Corp.,Banyan Gold Corp.,developer,"Vancouver, Canada",gold,100.0,0.0,"Gold developer with the AurMac Gold Project and Hyland Gold Project in the Yukon, Canada, with total resources of over 7 million ounces of gold.",2025-03-22 00:00:00+0000
71,BZ.V,BENZ MINING,,explorer,"Vancouver, Canada",gold,100.0,0.0,Gold exploration company with projects in Canada and Australia.,2025-03-22 00:00:00+0000
72,CANX.V,CANEX METALS,,explorer,"Calgary, Canada",gold,100.0,0.0,Junior exploration company focused on the Gold Range Project in Northern Arizona and the Louise Copper-Gold deposit.,2025-03-22 00:00:00+0000
73,BTR.V,Bonterra Resources Inc.,,developer,"Val-d'Or, Canada",gold,100.0,0.0,"Gold developer with multiple deposits in Québec, Canada, including Gladiator, Barry, Moroy, and Bachelor, with a central milling facility and a PEA for the Barry open pit project.",2025-03-22 00:00:00+0000
74,CBI.V,COLIBRI RESOURCE,,explorer,"Dieppe, Canada","gold, silver",70.0,30.0,"Canadian precious metals exploration company focused on gold and silver projects in Sonora, Mexico, including the EP Gold Project and Pilar Gold & Silver Project.",2025-03-22 00:00:00+0000
75,BIG.V,HERCULES METALS,,explorer,"Toronto, Canada","silver, copper",0.0,50.0,"Explorer focused on the Hercules project in Idaho, targeting silver, lead, zinc, and a newly discovered porphyry copper system.",2025-03-21 00:00:00+0000
76,CC.CN,CORE ASSETS,,explorer,"Vancouver, Canada","copper, silver, lead, zinc",0.0,100.0,"Canadian exploration company focused on the Blue Property in British Columbia, targeting copper, silver, lead, and zinc, with high-grade intercepts reported from the Silver Lime Project.",2025-03-22 00:00:00+0000
77,CAPT.V,CAPITAN SILVER,,explorer,"Vancouver, Canada","gold, silver",59.4,40.6,"Canadian junior exploration company focused on the Cruz de Plata silver-gold project in Durango, Mexico, with inferred resources of 305,000 oz gold and 15 million oz silver.",2025-03-22 00:00:00+0000
78,CDPR.CN,CERRO DE PASCO RESOURCES,,developer,"Montreal, Canada","silver, zinc, lead",0.0,100.0,"Canadian mining company focused on reprocessing silver-rich mineral tailings and stockpiles from the El Metalurgista concession in Peru, targeting silver, zinc, and lead production.",2025-03-22 00:00:00+0000
79,BRAU.V,BIG RIDGE GOLD,,developer,"Toronto, Canada",gold,100.0,0.0,Developer of the Hope Brook Gold Project in Newfoundland with additional gold exploration projects in Manitoba and Quebec.,2025-03-22 00:00:00+0000
80,CFE.CN,CARTIER SILVER CORPORATION,,explorer,"Toronto, Canada","silver, lead, zinc",0.0,100.0,"Canadian exploration company focused on the Gonalbert Property in Bolivia, targeting high-grade silver, lead, and zinc deposits.",2025-03-22 00:00:00+0000
81,CG.TO,CENTERRA GOLD INC,,producer,"Toronto, Canada","gold, copper",80.0,0.0,"Canadian gold and copper mining company operating the Mount Milligan Mine in British Columbia, Canada, and the Öksüt Mine in Türkiye, with a focus on production and exploration.",2025-03-22 00:00:00+0000
82,CGC.V,CANADIAN GOLD CORP,,explorer,"Toronto, Canada",gold,100.0,0.0,"Canadian gold exploration company focused on the Tartan Lake Gold Mine Project in Manitoba, with additional properties in Ontario and Quebec.",2025-03-22 00:00:00+0000
83,CGG.TO,CHINA GOLD INTERNATIONAL RESOURCES CORP LTD,China Gold International Resources Corp Ltd.,producer,"Vancouver, Canada","gold, base metals",70.0,0.0,"Gold and base metal mining company with operations in China, focusing on the Jiama Copper-Gold Polymetallic Mine.",2025-03-22 00:00:00+0000
84,CKG.V,CHESAPEAKE GOLD,,explorer,"Vancouver, Canada","gold, silver",74.5,25.5,"Chesapeake Gold Corp. is a Canadian exploration company focused on gold and silver, with its flagship Metates project in Mexico, one of the largest undeveloped gold-silver deposits globally.",2025-03-22 00:00:00+0000
85,CBR.V,CABRAL GOLD,,developer,"Vancouver, Canada",gold,100.0,0.0,"Canadian mining company developing the Cuiú Cuiú Gold District in Brazil, with significant gold resources and plans for near-term production from oxide materials.",2025-03-22 00:00:00+0000
86,CMB.V,CMC METALS,,explorer,"Vancouver, Canada","silver, gold, zinc, lead",30.0,70.0,"CMC Metals is a Canadian exploration company focused on silver, gold, and base metals, with projects in Yukon, British Columbia, Newfoundland, and Mexico.",2025-03-22 00:00:00+0000
87,CN.V,CONDOR RESOURCES,,explorer,"Vancouver, Canada","copper, molybdenum, silver, gold",50.0,50.0,"Condor Resources is a Canadian exploration company focused on copper, molybdenum, silver, and gold, with projects in Peru, including Rio Bravo, Lucero, Pucamayo East, and Huinac Punta.",2025-03-22 00:00:00+0000
88,CNL.TO,COLLECTIVE MINING,,explorer,"Toronto, Canada","gold, silver, copper, tungsten",70.0,30.0,"Collective Mining is a Canadian exploration company focused on discovering large-scale copper-gold-silver-tungsten porphyry systems in Colombia, with flagship projects including Guayabales and San Antonio.",2025-03-22 00:00:00+0000
89,CPAU.V,COPAUR MINERALS,,explorer,"Vancouver, Canada","gold, copper",100.0,0.0,"CopAur Minerals is a Canadian exploration company focused on gold and copper, with its flagship Kinsley Mountain Gold Project in Nevada and the Williams Project in British Columbia.",2025-03-22 00:00:00+0000
90,CRB.V,CARIBOO ROSE RESOURCES,,explorer,"Vancouver, Canada","gold, copper, zinc, silver",70.0,30.0,"Cariboo Rose Resources is a Canadian exploration company focused on gold, copper, zinc, and silver projects in British Columbia, with key projects including Lightning Strike, Carruthers Pass, and Carbonate Hosted Gold. The company employs a strategy of optioning projects to other public companies to reduce risk. While no formal resource estimates have been published, its projects are located in a region with significant historical gold production and ongoing exploration by other companies, suggesting potential for future resource delineation.",2025-03-22 00:00:00+0000
91,CRI.V,CHURCHILL RESOURCES,,explorer,"Vancouver, Canada","nickel, copper, cobalt",0.0,0.0,"Churchill Resources is a Canadian exploration company focused on high-grade nickel, copper, and cobalt projects in Newfoundland and Labrador. The company is in the early exploration stage, with ongoing drilling programs at Taylor Brook and Florence Lake. While no formal resource estimates have been published, its projects are located in a region with significant historical nickel production, suggesting potential for future resource delineation.",2025-03-22 00:00:00+0000
92,CSR.CN,COPPER STANDARD RESOURCES,,explorer,"Vancouver, Canada","copper, gold",100.0,0.0,"Copper Standard Resources is a Canadian exploration company focused on copper and gold projects in Peru, with its flagship Colpayoc Copper-Gold Project. The company is in the early exploration stage, with recent drilling confirming a porphyry copper-gold system. Located in the Yanacocha Mining District, its projects suggest potential for future resource delineation. The company recently merged with Pucara Gold Ltd., enhancing its portfolio.",2025-03-22 00:00:00+0000
93,CLZ.V,CANASIL RESOURCES,,explorer,"Vancouver, Canada","gold, silver, copper, zinc, lead",60.0,40.0,"Canasil Resources is a Canadian exploration company focused on gold, silver, and base metals, with projects in Mexico and British Columbia.",2025-03-22 00:00:00+0000
94,CTN.V,CENTURION MINERALS,,explorer,"Vancouver, Canada","gold, gypsum",100.0,0.0,"Centurion Minerals is a Canadian exploration company focused on gold and gypsum, with key projects including the Casa Berardi West Gold Project in Canada, the Ana Sofia Agricultural Gypsum Project in Argentina, and the San Cristobal Gold Project in Nicaragua. The company is in the early exploration stage, with no formal resource estimates published yet. Its flagship gold project is located in the prolific Abitibi Greenstone belt, suggesting potential for future resource delineation.",2025-03-22 00:00:00+0000
95,CCM.TO,CANAGOLD RESOURCES,,developer,"Vancouver, Canada","gold, antimony",95.0,0.0,"Canadian mining company focused on developing the high-grade New Polaris gold and antimony project in British Columbia, Canada.",2025-03-22 00:00:00+0000
96,CTM.V,CANTERRA MINERALS,,explorer,"Vancouver, Canada","gold, copper, zinc, lead, silver",70.0,30.0,"Canterra Minerals is a Canadian exploration company focused on critical minerals and gold in Newfoundland, with additional projects in Alberta and the Northwest Territories. Its key projects include the Buchans Project, Wilding Gold Project, and Seal Pond Massive Sulfide Prospect.",2025-03-22 00:00:00+0000
97,CERT.V,CERRADO GOLD,,producer,"Toronto, Canada",gold,100.0,0.0,"Canadian gold producer with the Minera Don Nicolas mine in Argentina, focusing on operational optimization and production growth.",2025-03-22 00:00:00+0000
98,DAU.V,DESERT GOLD VENTURES,,explorer,"Surrey, Canada",gold,100.0,0.0,"Gold exploration company with the flagship Senegal Mali Shear Zone project in Western Mali, covering 440 square kilometers.",2025-03-23 00:33:00+0000
99,CVB.V,COMPASS GOLD,,developer,"Toronto, Canada",gold,100.0,0.0,"Gold exploration and development company with properties in Mali, including the Sikasso property. On track to commence production at Massala in Q2 2025.",2025-03-22 15:48:00+0000
100,CXB.TO,CALIBRE MINING,,producer,"Vancouver, Canada",gold,100.0,0.0,"Mid-tier gold producer with operations in Nicaragua, Nevada, and Canada, including the Valentine Gold Mine.",2025-03-22 16:00:00+0000
101,CYG.V,CYGNUS METALS,,explorer,"Toronto, Canada","gold, copper",100.0,0.0,"Gold and copper exploration company with projects in Quebec, Canada, and Western Australia, including the Chibougamau Copper-Gold Project.",2025-03-22 23:10:00+0000
